@relation classbase

@attribute 21 numeric
@attribute 0.8571428571428571 numeric
@attribute 0.2779698908132899 numeric
@attribute 269 numeric
@attribute 62.69592476489028 numeric
@attribute 0 numeric
@attribute 320 numeric
@attribute 41.66489827547461 numeric
@attribute 30.991246692863918 numeric
@attribute 27 numeric
@attribute 0.431808247170356 numeric
@attribute 740.7407407407408 numeric
@attribute unvoiced {unvoiced,voiced}

@data
33,0.121212,0.091455,26,263.157895,83.231189,399,82.564192,49.031048,26,0.4364,769.230769,unvoiced
27,1.148148,0.079869,11,327.868852,66.289439,392,45.914065,22.61594,47,0.209433,425.531915,unvoiced
33,0.090909,0.090194,17,298.507463,50.917111,399,24.816654,20.626412,25,0.267015,800,unvoiced
27,2.518519,0.100021,9,338.983051,33.458907,138,15.863882,33.01725,138,0.316269,144.927536,unvoiced
18,4,0.081393,109,125.786164,61.059637,317,34.935612,35.661169,156,0.362414,128.205128,voiced
14,5.357143,0.16269,102,131.578947,60.33976,301,45.839313,47.648546,150,0.581347,133.333333,voiced
16,3.4375,0.246883,94,138.888889,62.365408,289,55.805981,55.694616,144,0.63962,138.888889,voiced
22,1.590909,0.216871,89,143.884892,60.61667,140,57.582459,58.601977,140,0.670377,142.857143,voiced
29,0.62069,0.186418,85,148.148148,44.691799,399,39.917365,46.513776,135,0.664217,148.148148,voiced
30,1.833333,0.257067,81,152.671756,43.949069,396,43.454361,49.765406,130,0.684981,153.846154,voiced
36,0.416667,0.094597,78,156.25,55.717896,399,32.715445,27.088665,129,0.583476,155.03876,voiced
52,0.115385,0.128691,20,285.714286,80.139433,388,44.645906,34.380874,10,0.635688,2000,unvoiced
64,0.203125,0.091904,110,125,56.523655,397,25.256876,18.207109,10,0.522911,2000,unvoiced
63,0.269841,0.100458,2,384.615385,65.732618,395,41.678069,16.607563,10,0.302499,2000,unvoiced
75,0.133333,0.084692,11,327.868852,21.521742,393,7.840177,6.52837,10,0.322489,2000,unvoiced
84,0.083333,0.07332,62,178.571429,48.771849,394,27.737781,14.726033,9,0.386694,2222.222222,unvoiced
68,0.941176,0.083108,63,176.99115,55.447869,397,27.654988,15.932121,9,0.395304,2222.222222,unvoiced
