@relation pitchbase

@attribute 18 numeric
@attribute 4.0 numeric
@attribute 0.08139316523779583 numeric
@attribute 109 numeric
@attribute 125.78616352201257 numeric
@attribute 61.059636970515406 numeric
@attribute 317 numeric
@attribute 34.93561191867119 numeric
@attribute 35.66116862659576 numeric
@attribute 156 numeric
@attribute 0.3624143941165391 numeric
@attribute 128.2051282051282 numeric
@attribute 129.776 numeric

@data
14,5.357143,0.16269,102,131.578947,60.33976,301,45.839313,47.648546,150,0.581347,133.333333,130.55
16,3.4375,0.246883,94,138.888889,62.365408,289,55.805981,55.694616,144,0.63962,138.888889,136.815
22,1.590909,0.216871,89,143.884892,60.61667,140,57.582459,58.601977,140,0.670377,142.857143,141.844
29,0.62069,0.186418,85,148.148148,44.691799,399,39.917365,46.513776,135,0.664217,148.148148,150.857
30,1.833333,0.257067,81,152.671756,43.949069,396,43.454361,49.765406,130,0.684981,153.846154,150.732
36,0.416667,0.094597,78,156.25,55.717896,399,32.715445,27.088665,129,0.583476,155.03876,152.614
44,0.568182,0.119771,75,160,76.274022,377,47.444539,45.264027,110,0.490342,181.818182,192.257
24,1.875,0.227879,65,173.913043,71.158394,340,77.335793,74.192173,115,0.700739,173.913043,176.492
16,7.3125,0.17825,66,172.413793,44.664816,116,41.984094,47.890425,116,0.664309,172.413793,170.191
12,2.333333,0.245229,67,170.940171,39.350053,117,48.388228,52.968312,117,0.701995,170.940171,170.465
17,2.588235,0.207089,67,170.940171,39.000163,115,48.670421,56.918826,115,0.779094,173.913043,169.816
21,1.190476,0.237876,66,172.413793,31.866321,345,62.266146,66.565193,115,0.779961,173.913043,173.913
23,0.217391,0.309893,65,173.913043,18.369477,345,61.731089,66.566341,115,0.78674,173.913043,173.764
25,0.96,0.229532,65,173.913043,27.501109,346,47.310865,52.686709,116,0.733166,172.413793,174.36
25,0.2,0.171014,65,173.913043,36.877755,349,53.433038,56.675325,116,0.723809,172.413793,171.799
